id,title,provenance,epistemic_status,primary_destination,secondary_links,assumptions,falsifiers,prior_art,current_version
1,Generalization as a Hazard Generator,O→F,HYPOTHESIS,P2 Hazardous Inference Frontier,P4 (dangerous capability as input),Models can compositionally infer target conclusions not explicitly present in supplied context; derivability changes with capability and inference budget.,"Falsified if controlled targets remain non-derivable after primitives are supplied across stronger models/budgets, or if apparent effects are explained by memorization/leakage.","Glukhov et al., ICLR 2025 (inferential adversaries / information leakage); compositional-generalization literature; LLM unlearning literature.",v0.1 (2026-09-14)
2,The Hazardous Inference Frontier,O→F,MODEL,P2 Hazardous Inference Frontier,P4,Models can compositionally infer target conclusions not explicitly present in supplied context; derivability changes with capability and inference budget.,"Falsified if controlled targets remain non-derivable after primitives are supplied across stronger models/budgets, or if apparent effects are explained by memorization/leakage.","Glukhov et al., ICLR 2025 (inferential adversaries / information leakage); compositional-generalization literature; LLM unlearning literature.",v0.1 (2026-09-14)
3,Mechanistic Human-Vulnerability Model,O→F,HYPOTHESIS,P2 Hazardous Inference Frontier,P3,Models can compositionally infer target conclusions not explicitly present in supplied context; derivability changes with capability and inference budget.,"Falsified if controlled targets remain non-derivable after primitives are supplied across stronger models/budgets, or if apparent effects are explained by memorization/leakage.","Glukhov et al., ICLR 2025 (inferential adversaries / information leakage); compositional-generalization literature; LLM unlearning literature.",v0.1 (2026-09-14)
4,Causal Lethality Without Intent,O,HYPOTHESIS,P2 Hazardous Inference Frontier,P7,Models can compositionally infer target conclusions not explicitly present in supplied context; derivability changes with capability and inference budget.,"Falsified if controlled targets remain non-derivable after primitives are supplied across stronger models/budgets, or if apparent effects are explained by memorization/leakage.","Glukhov et al., ICLR 2025 (inferential adversaries / information leakage); compositional-generalization literature; LLM unlearning literature.",v0.1 (2026-09-14)
5,AI-Mediated Harm Observability / Causal Attribution Problem,O→F,HYPOTHESIS,P2 Hazardous Inference Frontier,P7,Models can compositionally infer target conclusions not explicitly present in supplied context; derivability changes with capability and inference budget.,"Falsified if controlled targets remain non-derivable after primitives are supplied across stronger models/budgets, or if apparent effects are explained by memorization/leakage.","Glukhov et al., ICLR 2025 (inferential adversaries / information leakage); compositional-generalization literature; LLM unlearning literature.",v0.1 (2026-09-14)
6,Personalized Persuasion as Behavioral-Response Modeling,O→F,HYPOTHESIS,P3 Recursive Epistemic Dependence,P4,Decision-makers rely materially on AI-generated analysis; independent verification may be incomplete; advisor and principal objectives may diverge.,Falsified in the strong capture form if increased AI reliance preserves or improves independent verification and decision quality even under adversarially slanted advice.,"Scalable oversight (Kenton et al., NeurIPS 2024); Turkina 2026; epistemic dependence literature; Bayesian persuasion (Kamenica & Gentzkow, 2011).",v0.1 (2026-09-14)
7,Human-Mediated AI Capital Feedback / Non-Agentic Proliferation,O,HYPOTHESIS,P3 Recursive Epistemic Dependence,P6,Decision-makers rely materially on AI-generated analysis; independent verification may be incomplete; advisor and principal objectives may diverge.,Falsified in the strong capture form if increased AI reliance preserves or improves independent verification and decision quality even under adversarially slanted advice.,"Scalable oversight (Kenton et al., NeurIPS 2024); Turkina 2026; epistemic dependence literature; Bayesian persuasion (Kamenica & Gentzkow, 2011).",v0.1 (2026-09-14)
8,Synthetic-Media Epistemic Collapse,O,HYPOTHESIS,RN1 Media Provenance,,Perceptual authenticity becomes insufficient as synthetic media improves.,Would weaken if robust content-based detection remains reliably ahead of generation.,C2PA/provenance literature; synthetic-media detection.,v0.1 (2026-09-14)
9,Recursive Epistemic Capture in AI Governance,O→F,HYPOTHESIS,P3 Recursive Epistemic Dependence,P4,Decision-makers rely materially on AI-generated analysis; independent verification may be incomplete; advisor and principal objectives may diverge.,Falsified in the strong capture form if increased AI reliance preserves or improves independent verification and decision quality even under adversarially slanted advice.,"Scalable oversight (Kenton et al., NeurIPS 2024); Turkina 2026; epistemic dependence literature; Bayesian persuasion (Kamenica & Gentzkow, 2011).",v0.1 (2026-09-14)
10,Epistemic-Authority Cascade / Mass Deference,O→F,HYPOTHESIS,P3 Recursive Epistemic Dependence,P3 only,Decision-makers rely materially on AI-generated analysis; independent verification may be incomplete; advisor and principal objectives may diverge.,Falsified in the strong capture form if increased AI reliance preserves or improves independent verification and decision quality even under adversarially slanted advice.,"Scalable oversight (Kenton et al., NeurIPS 2024); Turkina 2026; epistemic dependence literature; Bayesian persuasion (Kamenica & Gentzkow, 2011).",v0.1 (2026-09-14)
